ID,Category,Priority,Question
A1,Marketplace,P1,"For the Parts Marketplace, which model do you want? (a) Listings only - buyers contact you and payment is arranged offline; (b) Full online checkout with card payment; (c) Listings for now, with online payment added later only if time allows. We recommend (a) or (c) for this timeframe."
A2,Marketplace,P1,"If you want online payments: do you already have a Stripe or PayPal business account, and would all money go to Outlier Autowerke, or would other sellers receive payment directly?"
A3,Marketplace,P1,"Who is allowed to post a parts listing - only you and your staff, or can registered customers list their own parts too?"
A4,Marketplace,P2,"Do listings need delivery or postage options and costs, or is it local pickup only?"
A5,Marketplace,P2,"Should a listing show a fixed price, offers over, or price on application? Do you want a make-an-offer option?"
A6,Marketplace,P3,"When something sells, should the listing disappear, or stay visible marked as Sold?"
A7,Marketplace,P3,"Should listings expire automatically after a period (e.g. 60 days), or stay until you remove them?"
B1,Wanted / Exchange,P1,"Is Parts Wanted for you posting parts you are searching for, for customers posting what they need, or both?"
B2,Wanted / Exchange,P1,"How should a Parts Exchange trade work? (a) A user sees a listing and offers a specific swap through the site; (b) A noticeboard where people post what they have and what they want, and arrange it themselves; (c) Something else - please describe."
B3,Wanted / Exchange,P2,"Should Wanted and Exchange posts be public, or visible only to logged-in users?"
B4,Wanted / Exchange,P2,"Do you want to review and approve Wanted or Exchange posts before they appear publicly?"
C1,Accounts,P1,"Do customers need an account at all, or should they be able to browse and send enquiries without signing up?"
C2,Accounts,P1,"What information should we collect at sign-up? (name, email, phone, suburb or location, vehicle details?) Please mark which are essential - collecting less is better for privacy."
C3,Accounts,P2,"Besides yourself, how many staff or admin users will there be, and do they need different levels of access?"
C4,Accounts,P3,"Would you like Sign in with Google as an option, or email and password only?"
D1,Contact,P1,"What must the enquiry form capture? Suggested: name, email, phone, vehicle make/model/year, part or service needed, message, optional photo upload. Which are mandatory, and is anything missing?"
D2,Contact,P1,"Where should enquiries be sent - an email address (which one?), WhatsApp, or held in the admin panel for you to check?"
